       v     ,      ids   ,      gm    ,      gm2   ,      vd
   -1.30000 ,   1.342e-08 , -1.486e-05 , -3.361e-06 , -1.342e-08
   -1.29000 ,   1.308e-08 , -1.930e-03 , -1.923e-03 , -1.308e-08
   -1.28000 ,   1.275e-08 , -3.397e-08 ,   -0.1915  , -1.275e-08
   -1.27000 ,   1.242e-08 , -3.325e-08 ,    0.1930  , -1.242e-08
   -1.26000 ,   1.210e-08 , -3.255e-08 ,  7.134e-08 , -1.210e-08
   -1.25000 ,   1.179e-08 , -3.186e-08 ,  7.049e-08 , -1.179e-08
   -1.24000 ,   1.149e-08 , -3.118e-08 ,  6.892e-08 , -1.149e-08
   -1.23000 ,   1.119e-08 , -3.051e-08 ,  6.800e-08 , -1.119e-08
   -1.22000 ,   1.090e-08 , -2.985e-08 ,  6.679e-08 , -1.090e-08
   -1.21000 ,   1.061e-08 , -2.921e-08 ,  6.587e-08 , -1.061e-08
   -1.20000 ,   1.033e-08 , -2.857e-08 ,  6.445e-08 , -1.033e-08
   -1.19000 ,   1.006e-08 , -2.795e-08 ,  6.359e-08 , -1.006e-08
   -1.18000 ,   9.790e-09 , -2.734e-08 ,  6.246e-08 , -9.790e-09
   -1.17000 ,   9.529e-09 , -2.673e-08 ,  6.132e-08 , -9.529e-09
   -1.16000 ,   9.273e-09 , -2.614e-08 ,  6.040e-08 , -9.273e-09
   -1.15000 ,   9.024e-09 , -2.556e-08 ,  5.940e-08 , -9.024e-09
   -1.14000 ,   8.779e-09 , -2.498e-08 ,  5.819e-08 , -8.779e-09
   -1.13000 ,   8.541e-09 , -2.442e-08 ,  5.734e-08 , -8.541e-09
   -1.12000 ,   8.307e-09 , -2.387e-08 ,  5.606e-08 , -8.307e-09
   -1.11000 ,   8.080e-09 , -2.333e-08 ,  5.535e-08 , -8.080e-09
   -1.10000 ,   7.857e-09 , -2.279e-08 ,  5.421e-08 , -7.857e-09
   -1.09000 ,   7.639e-09 , -2.227e-08 ,  5.350e-08 , -7.639e-09
   -1.08000 ,   7.427e-09 , -2.176e-08 ,  5.215e-08 , -7.427e-09
   -1.07000 ,   7.219e-09 , -2.125e-08 ,  5.137e-08 , -7.219e-09
   -1.06000 ,   7.017e-09 , -2.075e-08 ,  5.059e-08 , -7.017e-09
   -1.05000 ,   6.819e-09 , -2.027e-08 ,  4.952e-08 , -6.819e-09
   -1.04000 ,   6.625e-09 , -1.979e-08 ,  4.867e-08 , -6.625e-09
   -1.03000 ,   6.437e-09 , -1.932e-08 ,  4.768e-08 , -6.437e-09
   -1.02000 ,   6.253e-09 , -1.886e-08 ,  4.682e-08 , -6.253e-09
   -1.01000 ,   6.073e-09 , -1.841e-08 ,  4.604e-08 , -6.073e-09
   -1.00000 ,   5.898e-09 , -1.797e-08 ,  4.512e-08 , -5.898e-09
   -0.99000 ,   5.727e-09 , -1.753e-08 ,  4.427e-08 , -5.727e-09
