       v     ,      ids   ,      gm    ,      gm2   ,      vd
   -1.30000  ,  1.342e-08 ,    0.0     ,    0.0     , -1.342e-08
   -1.29000  ,  1.308e-08 ,  1.342e-06 ,    0.0     , -1.308e-08
   -1.28000  ,  1.275e-08 , -3.398e-08 ,  1.342e-04 , -1.275e-08
   -1.27000  ,  1.243e-08 , -3.327e-08 , -1.376e-04 , -1.243e-08
   -1.26000  ,  1.211e-08 , -3.256e-08 ,  7.134e-08 , -1.211e-08
   -1.25000  ,  1.180e-08 , -3.187e-08 ,  7.049e-08 , -1.180e-08
   -1.24000  ,  1.149e-08 , -3.119e-08 ,  6.899e-08 , -1.149e-08
   -1.23000  ,  1.119e-08 , -3.052e-08 ,  6.821e-08 , -1.119e-08
   -1.22000  ,  1.090e-08 , -2.986e-08 ,  6.651e-08 , -1.090e-08
   -1.21000  ,  1.061e-08 , -2.922e-08 ,  6.594e-08 , -1.061e-08
   -1.20000  ,  1.033e-08 , -2.858e-08 ,  6.459e-08 , -1.033e-08
   -1.19000  ,  1.006e-08 , -2.796e-08 ,  6.366e-08 , -1.006e-08
   -1.18000  ,  9.794e-09 , -2.734e-08 ,  6.246e-08 , -9.794e-09
   -1.17000  ,  9.532e-09 , -2.674e-08 ,  6.132e-08 , -9.532e-09
   -1.16000  ,  9.276e-09 , -2.615e-08 ,  6.033e-08 , -9.276e-09
   -1.15000  ,  9.027e-09 , -2.556e-08 ,  5.933e-08 , -9.027e-09
   -1.14000  ,  8.782e-09 , -2.499e-08 ,  5.841e-08 , -8.782e-09
   -1.13000  ,  8.544e-09 , -2.443e-08 ,  5.720e-08 , -8.544e-09
   -1.12000  ,  8.310e-09 , -2.388e-08 ,  5.627e-08 , -8.310e-09
   -1.11000  ,  8.082e-09 , -2.333e-08 ,  5.521e-08 , -8.082e-09
   -1.10000  ,  7.859e-09 , -2.280e-08 ,  5.443e-08 , -7.859e-09
   -1.09000  ,  7.642e-09 , -2.228e-08 ,  5.322e-08 , -7.642e-09
   -1.08000  ,  7.429e-09 , -2.176e-08 ,  5.244e-08 , -7.429e-09
   -1.07000  ,  7.222e-09 , -2.126e-08 ,  5.130e-08 , -7.222e-09
   -1.06000  ,  7.019e-09 , -2.076e-08 ,  5.059e-08 , -7.019e-09
   -1.05000  ,  6.821e-09 , -2.027e-08 ,  4.952e-08 , -6.821e-09
   -1.04000  ,  6.628e-09 , -1.980e-08 ,  4.867e-08 , -6.628e-09
