       v     ,      ids   ,      gm    ,      gm2   ,      vd
   -1.30000 ,   1.330e-08 , -1.502e-05 , -3.277e-06 , -1.330e-08
   -1.29000 ,   1.296e-08 , -1.952e-03 , -1.928e-03 , -1.296e-08
   -1.28000 ,   1.263e-08 , -3.365e-08 ,   -0.1937  , -1.263e-08
   -1.27000 ,   1.231e-08 , -3.295e-08 ,    0.1952  , -1.231e-08
   -1.26000 ,   1.199e-08 , -3.225e-08 ,  7.063e-08 , -1.199e-08
   -1.25000 ,   1.168e-08 , -3.157e-08 ,  6.970e-08 , -1.168e-08
   -1.24000 ,   1.138e-08 , -3.089e-08 ,  6.835e-08 , -1.138e-08
   -1.23000 ,   1.108e-08 , -3.023e-08 ,  6.750e-08 , -1.108e-08
   -1.22000 ,   1.080e-08 , -2.958e-08 ,  6.594e-08 , -1.080e-08
   -1.21000 ,   1.051e-08 , -2.894e-08 ,  6.530e-08 , -1.051e-08
   -1.20000 ,   1.024e-08 , -2.831e-08 ,  6.409e-08 , -1.024e-08
   -1.19000 ,   9.965e-09 , -2.769e-08 ,  6.288e-08 , -9.965e-09
   -1.18000 ,   9.700e-09 , -2.708e-08 ,  6.182e-08 , -9.700e-09
   -1.17000 ,   9.441e-09 , -2.648e-08 ,  6.089e-08 , -9.441e-09
   -1.16000 ,   9.188e-09 , -2.590e-08 ,  5.976e-08 , -9.188e-09
   -1.15000 ,   8.940e-09 , -2.532e-08 ,  5.869e-08 , -8.940e-09
   -1.14000 ,   8.698e-09 , -2.475e-08 ,  5.770e-08 , -8.698e-09
   -1.13000 ,   8.462e-09 , -2.420e-08 ,  5.691e-08 , -8.462e-09
   -1.12000 ,   8.231e-09 , -2.365e-08 ,  5.556e-08 , -8.231e-09
   -1.11000 ,   8.005e-09 , -2.311e-08 ,  5.485e-08 , -8.005e-09
   -1.10000 ,   7.784e-09 , -2.258e-08 ,  5.379e-08 , -7.784e-09
   -1.09000 ,   7.569e-09 , -2.206e-08 ,  5.272e-08 , -7.569e-09
   -1.08000 ,   7.358e-09 , -2.155e-08 ,  5.187e-08 , -7.358e-09
   -1.07000 ,   7.153e-09 , -2.105e-08 ,  5.095e-08 , -7.153e-09
   -1.06000 ,   6.952e-09 , -2.056e-08 ,  5.002e-08 , -6.952e-09
   -1.05000 ,   6.756e-09 , -2.008e-08 ,  4.903e-08 , -6.756e-09
   -1.04000 ,   6.564e-09 , -1.961e-08 ,  4.832e-08 , -6.564e-09
   -1.03000 ,   6.377e-09 , -1.914e-08 ,  4.718e-08 , -6.377e-09
   -1.02000 ,   6.195e-09 , -1.869e-08 ,  4.654e-08 , -6.195e-09
   -1.01000 ,   6.017e-09 , -1.824e-08 ,  4.547e-08 , -6.017e-09
   -1.00000 ,   5.843e-09 , -1.780e-08 ,  4.462e-08 , -5.843e-09
   -0.99000 ,   5.674e-09 , -1.737e-08 ,  4.391e-08 , -5.674e-09
   -0.98000 ,   5.508e-09 , -1.695e-08 ,  4.306e-08 , -5.508e-09
   -0.97000 ,   5.347e-09 , -1.654e-08 ,  4.221e-08 , -5.347e-09
   -0.96000 ,   5.190e-09 , -1.613e-08 ,  4.128e-08 , -5.190e-09
   -0.95000 ,   5.036e-09 , -1.573e-08 ,  4.064e-08 , -5.036e-09
   -0.94000 ,   4.887e-09 , -1.534e-08 ,  3.972e-08 , -4.887e-09
