       vds  ,       ids  ,       gd   ,
   -0.15000 ,   4.952e-06,  -1.550e-05,
   -0.14000 ,   4.760e-06,  -1.732e-05,
   -0.13000 ,   4.548e-06,  -1.920e-05,
   -0.12000 ,   4.318e-06,  -2.111e-05,
   -0.11000 ,   4.067e-06,  -2.306e-05,
   -0.10000 ,   3.797e-06,  -2.504e-05,
 -9.0000e-02,   3.507e-06,  -2.703e-05,
 -8.0000e-02,   3.196e-06,  -2.904e-05,
 -7.0000e-02,   2.866e-06,  -3.105e-05,
 -6.0000e-02,   2.515e-06,  -3.306e-05,
 -5.0000e-02,   2.144e-06,  -3.507e-05,
 -4.0000e-02,   1.753e-06,  -3.708e-05,
 -3.0000e-02,   1.343e-06,  -3.907e-05,
 -2.0000e-02,   9.139e-07,  -4.103e-05,
 -1.0000e-02,   4.660e-07,  -4.293e-05,
    0.0     ,   3.006e-21,  -4.478e-05,
