       vds  ,       ids  ,       gd   ,
   -1.30000 ,   8.309e-06,   9.612e-21,
   -1.29000 ,   8.276e-06,   8.309e-04,
   -1.28000 ,   8.243e-06,  -3.276e-06,
   -1.27000 ,   8.211e-06,  -3.270e-06,
   -1.26000 ,   8.178e-06,  -3.264e-06,
   -1.25000 ,   8.146e-06,  -3.258e-06,
   -1.24000 ,   8.113e-06,  -3.252e-06,
   -1.23000 ,   8.081e-06,  -3.246e-06,
   -1.22000 ,   8.048e-06,  -3.240e-06,
   -1.21000 ,   8.016e-06,  -3.234e-06,
   -1.20000 ,   7.984e-06,  -3.227e-06,
   -1.19000 ,   7.952e-06,  -3.221e-06,
   -1.18000 ,   7.920e-06,  -3.214e-06,
   -1.17000 ,   7.888e-06,  -3.207e-06,
   -1.16000 ,   7.856e-06,  -3.201e-06,
   -1.15000 ,   7.824e-06,  -3.194e-06,
   -1.14000 ,   7.792e-06,  -3.186e-06,
   -1.13000 ,   7.760e-06,  -3.179e-06,
   -1.12000 ,   7.729e-06,  -3.172e-06,
   -1.11000 ,   7.697e-06,  -3.164e-06,
   -1.10000 ,   7.666e-06,  -3.156e-06,
   -1.09000 ,   7.634e-06,  -3.148e-06,
   -1.08000 ,   7.603e-06,  -3.140e-06,
   -1.07000 ,   7.572e-06,  -3.132e-06,
   -1.06000 ,   7.541e-06,  -3.123e-06,
   -1.05000 ,   7.509e-06,  -3.114e-06,
   -1.04000 ,   7.479e-06,  -3.105e-06,
   -1.03000 ,   7.448e-06,  -3.096e-06,
   -1.02000 ,   7.417e-06,  -3.086e-06,
   -1.01000 ,   7.386e-06,  -3.076e-06,
   -1.00000 ,   7.356e-06,  -3.066e-06,
   -0.99000 ,   7.325e-06,  -3.055e-06,
   -0.98000 ,   7.295e-06,  -3.044e-06,
   -0.97000 ,   7.265e-06,  -3.032e-06,
   -0.96000 ,   7.235e-06,  -3.020e-06,
   -0.95000 ,   7.205e-06,  -3.007e-06,
   -0.94000 ,   7.175e-06,  -2.994e-06,
   -0.93000 ,   7.145e-06,  -2.981e-06,
   -0.92000 ,   7.116e-06,  -2.966e-06,
   -0.91000 ,   7.086e-06,  -2.952e-06,
   -0.90000 ,   7.057e-06,  -2.936e-06,
   -0.89000 ,   7.028e-06,  -2.920e-06,
   -0.88000 ,   6.999e-06,  -2.903e-06,
   -0.87000 ,   6.971e-06,  -2.885e-06,
   -0.86000 ,   6.942e-06,  -2.866e-06,
   -0.85000 ,   6.914e-06,  -2.846e-06,
   -0.84000 ,   6.886e-06,  -2.825e-06,
   -0.83000 ,   6.858e-06,  -2.804e-06,
   -0.82000 ,   6.831e-06,  -2.781e-06,
   -0.81000 ,   6.803e-06,  -2.757e-06,
   -0.80000 ,   6.776e-06,  -2.731e-06,
   -0.79000 ,   6.749e-06,  -2.704e-06,
   -0.78000 ,   6.723e-06,  -2.676e-06,
   -0.77000 ,   6.697e-06,  -2.646e-06,
   -0.76000 ,   6.671e-06,  -2.615e-06,
   -0.75000 ,   6.646e-06,  -2.581e-06,
   -0.74000 ,   6.620e-06,  -2.547e-06,
   -0.73000 ,   6.596e-06,  -2.510e-06,
   -0.72000 ,   6.571e-06,  -2.471e-06,
   -0.71000 ,   6.548e-06,  -2.430e-06,
   -0.70000 ,   6.524e-06,  -2.387e-06,
   -0.69000 ,   6.501e-06,  -2.342e-06,
   -0.68000 ,   6.479e-06,  -2.295e-06,
   -0.67000 ,   6.457e-06,  -2.246e-06,
   -0.66000 ,   6.435e-06,  -2.194e-06,
   -0.65000 ,   6.415e-06,  -2.139e-06,
   -0.64000 ,   6.394e-06,  -2.083e-06,
   -0.63000 ,   6.375e-06,  -2.024e-06,
   -0.62000 ,   6.356e-06,  -1.963e-06,
   -0.61000 ,   6.337e-06,  -1.900e-06,
   -0.60000 ,   6.320e-06,  -1.834e-06,
   -0.59000 ,   6.303e-06,  -1.767e-06,
   -0.58000 ,   6.286e-06,  -1.698e-06,
   -0.57000 ,   6.271e-06,  -1.627e-06,
   -0.56000 ,   6.256e-06,  -1.554e-06,
   -0.55000 ,   6.242e-06,  -1.481e-06,
   -0.54000 ,   6.229e-06,  -1.406e-06,
   -0.53000 ,   6.216e-06,  -1.331e-06,
   -0.52000 ,   6.204e-06,  -1.256e-06,
   -0.51000 ,   6.193e-06,  -1.180e-06,
   -0.50000 ,   6.183e-06,  -1.105e-06,
   -0.49000 ,   6.173e-06,  -1.031e-06,
   -0.48000 ,   6.165e-06,  -9.585e-07,
   -0.47000 ,   6.156e-06,  -8.873e-07,
   -0.46000 ,   6.149e-06,  -8.182e-07,
   -0.45000 ,   6.142e-06,  -7.516e-07,
   -0.44000 ,   6.136e-06,  -6.879e-07,
   -0.43000 ,   6.130e-06,  -6.276e-07,
   -0.42000 ,   6.125e-06,  -5.713e-07,
   -0.41000 ,   6.120e-06,  -5.194e-07,
   -0.40000 ,   6.116e-06,  -4.727e-07,
   -0.39000 ,   6.112e-06,  -4.319e-07,
   -0.38000 ,   6.108e-06,  -3.982e-07,
   -0.37000 ,   6.104e-06,  -3.729e-07,
   -0.36000 ,   6.101e-06,  -3.579e-07,
   -0.35000 ,   6.097e-06,  -3.556e-07,
   -0.34000 ,   6.093e-06,  -3.694e-07,
   -0.33000 ,   6.088e-06,  -4.038e-07,
   -0.32000 ,   6.083e-06,  -4.648e-07,
   -0.31000 ,   6.076e-06,  -5.603e-07,
   -0.30000 ,   6.067e-06,  -7.004e-07,
   -0.29000 ,   6.055e-06,  -8.974e-07,
   -0.28000 ,   6.040e-06,  -1.166e-06,
   -0.27000 ,   6.020e-06,  -1.522e-06,
   -0.26000 ,   5.995e-06,  -1.983e-06,
   -0.25000 ,   5.962e-06,  -2.564e-06,
   -0.24000 ,   5.920e-06,  -3.277e-06,
   -0.23000 ,   5.869e-06,  -4.131e-06,
   -0.22000 ,   5.807e-06,  -5.129e-06,
   -0.21000 ,   5.731e-06,  -6.266e-06,
   -0.20000 ,   5.642e-06,  -7.538e-06,
   -0.19000 ,   5.537e-06,  -8.932e-06,
   -0.18000 ,   5.417e-06,  -1.044e-05,
   -0.17000 ,   5.280e-06,  -1.204e-05,
   -0.16000 ,   5.125e-06,  -1.373e-05,
