   -1.30000     5.446e-05      0.       
   -1.29000     5.430e-05    5.446e-03  
   -1.28000     5.415e-05   -1.547e-05  
   -1.27000     5.400e-05   -1.530e-05  
   -1.26000     5.385e-05   -1.512e-05  
   -1.25000     5.370e-05   -1.494e-05  
   -1.24000     5.355e-05   -1.476e-05  
   -1.23000     5.341e-05   -1.457e-05  
   -1.22000     5.327e-05   -1.438e-05  
   -1.21000     5.313e-05   -1.418e-05  
   -1.20000     5.299e-05   -1.398e-05  
   -1.19000     5.286e-05   -1.377e-05  
   -1.18000     5.272e-05   -1.356e-05  
   -1.17000     5.259e-05   -1.334e-05  
   -1.16000     5.246e-05   -1.312e-05  
   -1.15000     5.234e-05   -1.289e-05  
   -1.14000     5.221e-05   -1.266e-05  
   -1.13000     5.209e-05   -1.243e-05  
   -1.12000     5.197e-05   -1.219e-05  
   -1.11000     5.185e-05   -1.194e-05  
   -1.10000     5.174e-05   -1.170e-05  
   -1.09000     5.163e-05   -1.145e-05  
   -1.08000     5.152e-05   -1.119e-05  
   -1.07000     5.141e-05   -1.093e-05  
   -1.06000     5.131e-05   -1.067e-05  
   -1.05000     5.121e-05   -1.041e-05  
   -1.04000     5.111e-05   -1.015e-05  
   -1.03000     5.101e-05   -9.878e-06  
   -1.02000     5.092e-05   -9.609e-06  
   -1.01000     5.083e-05   -9.339e-06  
   -1.00000     5.074e-05   -9.069e-06  
   -0.99000     5.065e-05   -8.798e-06  
   -0.98000     5.057e-05   -8.527e-06  
   -0.97000     5.049e-05   -8.257e-06  
   -0.96000     5.041e-05   -7.989e-06  
   -0.95000     5.034e-05   -7.724e-06  
   -0.94000     5.027e-05   -7.462e-06  
   -0.93000     5.020e-05   -7.205e-06  
   -0.92000     5.013e-05   -6.954e-06  
   -0.91000     5.007e-05   -6.711e-06  
   -0.90000     5.000e-05   -6.477e-06  
   -0.89000     4.994e-05   -6.256e-06  
   -0.88000     4.988e-05   -6.049e-06  
   -0.87000     4.983e-05   -5.861e-06  
   -0.86000     4.977e-05   -5.696e-06  
   -0.85000     4.972e-05   -5.559e-06  
   -0.84000     4.966e-05   -5.457e-06  
   -0.83000     4.961e-05   -5.395e-06  
   -0.82000     4.955e-05   -5.382e-06  
   -0.81000     4.950e-05   -5.427e-06  
   -0.80000     4.944e-05   -5.538e-06  
   -0.79000     4.938e-05   -5.724e-06  
   -0.78000     4.932e-05   -5.992e-06  
   -0.77000     4.925e-05   -6.350e-06  
   -0.76000     4.918e-05   -6.803e-06  
   -0.75000     4.910e-05   -7.354e-06  
   -0.74000     4.901e-05   -8.004e-06  
   -0.73000     4.891e-05   -8.753e-06  
   -0.72000     4.881e-05   -9.600e-06  
   -0.71000     4.869e-05   -1.054e-05  
   -0.70000     4.857e-05   -1.157e-05  
   -0.69000     4.843e-05   -1.269e-05  
   -0.68000     4.827e-05   -1.389e-05  
   -0.67000     4.811e-05   -1.516e-05  
   -0.66000     4.793e-05   -1.651e-05  
   -0.65000     4.774e-05   -1.791e-05  
   -0.64000     4.753e-05   -1.938e-05  
   -0.63000     4.730e-05   -2.090e-05  
   -0.62000     4.706e-05   -2.247e-05  
   -0.61000     4.681e-05   -2.408e-05  
   -0.60000     4.653e-05   -2.573e-05  
   -0.59000     4.624e-05   -2.741e-05  
   -0.58000     4.593e-05   -2.913e-05  
   -0.57000     4.560e-05   -3.087e-05  
   -0.56000     4.526e-05   -3.263e-05  
   -0.55000     4.490e-05   -3.441e-05  
   -0.54000     4.452e-05   -3.620e-05  
   -0.53000     4.412e-05   -3.801e-05  
   -0.52000     4.370e-05   -3.983e-05  
   -0.51000     4.327e-05   -4.165e-05  
   -0.50000     4.282e-05   -4.347e-05  
   -0.49000     4.234e-05   -4.530e-05  
   -0.48000     4.186e-05   -4.712e-05  
