       vds  ,       ids  ,       gd   ,
   -0.13000 ,   1.037e-05,  -6.673e-05,
   -0.12000 ,   9.666e-06,  -6.846e-05,
   -0.11000 ,   8.947e-06,  -7.018e-05,
   -0.10000 ,   8.212e-06,  -7.187e-05,
 -9.0000e-02,   7.460e-06,  -7.353e-05,
 -8.0000e-02,   6.692e-06,  -7.518e-05,
 -7.0000e-02,   5.908e-06,  -7.680e-05,
 -6.0000e-02,   5.108e-06,  -7.839e-05,
 -5.0000e-02,   4.293e-06,  -7.996e-05,
 -4.0000e-02,   3.463e-06,  -8.151e-05,
 -3.0000e-02,   2.618e-06,  -8.302e-05,
 -2.0000e-02,   1.759e-06,  -8.449e-05,
 -1.0000e-02,   8.861e-07,  -8.591e-05,
    0.0     ,  -1.250e-20,  -8.728e-05,
