      v      ,      ids   ,      gd
    0.0      ,    0.0     ,    0.0
  1.0000e-02 ,  3.564e-06 , -7.687e-03
  2.0000e-02 ,  7.104e-06 ,  3.564e-04
  3.0000e-02 ,  1.062e-05 ,  3.539e-04
  4.0000e-02 ,  1.410e-05 ,  3.514e-04
  5.0000e-02 ,  1.756e-05 ,  3.487e-04
  6.0000e-02 ,  2.100e-05 ,  3.460e-04
  7.0000e-02 ,  2.440e-05 ,  3.432e-04
  8.0000e-02 ,  2.778e-05 ,  3.404e-04
  9.0000e-02 ,  3.112e-05 ,  3.375e-04
    0.10000  ,  3.443e-05 ,  3.345e-04
    0.11000  ,  3.772e-05 ,  3.315e-04
    0.12000  ,  4.097e-05 ,  3.283e-04
    0.13000  ,  4.419e-05 ,  3.252e-04
    0.14000  ,  4.738e-05 ,  3.219e-04
    0.15000  ,  5.053e-05 ,  3.186e-04
    0.16000  ,  5.365e-05 ,  3.152e-04
    0.17000  ,  5.673e-05 ,  3.118e-04
    0.18000  ,  5.977e-05 ,  3.083e-04
    0.19000  ,  6.279e-05 ,  3.047e-04
    0.20000  ,  6.576e-05 ,  3.011e-04
    0.21000  ,  6.869e-05 ,  2.973e-04
    0.22000  ,  7.159e-05 ,  2.936e-04
    0.23000  ,  7.445e-05 ,  2.897e-04
    0.24000  ,  7.727e-05 ,  2.858e-04
    0.25000  ,  8.004e-05 ,  2.818e-04
    0.26000  ,  8.278e-05 ,  2.777e-04
    0.27000  ,  8.547e-05 ,  2.736e-04
    0.28000  ,  8.812e-05 ,  2.694e-04
    0.29000  ,  9.073e-05 ,  2.651e-04
    0.30000  ,  9.329e-05 ,  2.607e-04
    0.31000  ,  9.581e-05 ,  2.563e-04
    0.32000  ,  9.828e-05 ,  2.517e-04
    0.33000  ,  1.007e-04 ,  2.471e-04
    0.34000  ,  1.031e-04 ,  2.425e-04
    0.35000  ,  1.054e-04 ,  2.377e-04
    0.36000  ,  1.077e-04 ,  2.329e-04
    0.37000  ,  1.099e-04 ,  2.280e-04
    0.38000  ,  1.121e-04 ,  2.230e-04
    0.39000  ,  1.142e-04 ,  2.179e-04
    0.40000  ,  1.163e-04 ,  2.127e-04
    0.41000  ,  1.183e-04 ,  2.075e-04
    0.42000  ,  1.203e-04 ,  2.021e-04
    0.43000  ,  1.222e-04 ,  1.967e-04
    0.44000  ,  1.241e-04 ,  1.912e-04
    0.45000  ,  1.259e-04 ,  1.857e-04
    0.46000  ,  1.276e-04 ,  1.801e-04
    0.47000  ,  1.293e-04 ,  1.744e-04
    0.48000  ,  1.309e-04 ,  1.686e-04
    0.49000  ,  1.325e-04 ,  1.628e-04
    0.50000  ,  1.340e-04 ,  1.569e-04
    0.51000  ,  1.354e-04 ,  1.510e-04
    0.52000  ,  1.368e-04 ,  1.451e-04
    0.53000  ,  1.382e-04 ,  1.392e-04
    0.54000  ,  1.394e-04 ,  1.332e-04
    0.55000  ,  1.407e-04 ,  1.273e-04
    0.56000  ,  1.418e-04 ,  1.214e-04
    0.57000  ,  1.429e-04 ,  1.155e-04
    0.58000  ,  1.439e-04 ,  1.096e-04
    0.59000  ,  1.449e-04 ,  1.039e-04
    0.60000  ,  1.459e-04 ,  9.819e-05
    0.61000  ,  1.467e-04 ,  9.261e-05
    0.62000  ,  1.475e-04 ,  8.715e-05
    0.63000  ,  1.483e-04 ,  8.183e-05
    0.64000  ,  1.490e-04 ,  7.667e-05
    0.65000  ,  1.497e-04 ,  7.167e-05
    0.66000  ,  1.503e-04 ,  6.686e-05
    0.67000  ,  1.509e-04 ,  6.225e-05
    0.68000  ,  1.514e-04 ,  5.785e-05
    0.69000  ,  1.519e-04 ,  5.367e-05
    0.70000  ,  1.524e-04 ,  4.971e-05
    0.71000  ,  1.528e-04 ,  4.599e-05
    0.72000  ,  1.532e-04 ,  4.250e-05
    0.73000  ,  1.536e-04 ,  3.925e-05
    0.74000  ,  1.539e-04 ,  3.623e-05
    0.75000  ,  1.542e-04 ,  3.344e-05
    0.76000  ,  1.545e-04 ,  3.088e-05
    0.77000  ,  1.548e-04 ,  2.853e-05
    0.78000  ,  1.550e-04 ,  2.639e-05
    0.79000  ,  1.552e-04 ,  2.444e-05
    0.80000  ,  1.554e-04 ,  2.269e-05
    0.81000  ,  1.556e-04 ,  2.110e-05
    0.82000  ,  1.558e-04 ,  1.968e-05
