      v      ,      ids   ,      gd
    0.83000  ,  1.560e-04 ,  1.841e-05
    0.84000  ,  1.562e-04 ,  1.728e-05
    0.85000  ,  1.563e-04 ,  1.628e-05
    0.86000  ,  1.565e-04 ,  1.538e-05
    0.87000  ,  1.566e-04 ,  1.460e-05
    0.88000  ,  1.567e-04 ,  1.390e-05
    0.89000  ,  1.569e-04 ,  1.329e-05
    0.90000  ,  1.570e-04 ,  1.275e-05
    0.91000  ,  1.571e-04 ,  1.228e-05
    0.92000  ,  1.572e-04 ,  1.187e-05
    0.93000  ,  1.573e-04 ,  1.151e-05
    0.94000  ,  1.574e-04 ,  1.120e-05
    0.95000  ,  1.575e-04 ,  1.092e-05
    0.96000  ,  1.577e-04 ,  1.068e-05
    0.97000  ,  1.578e-04 ,  1.047e-05
    0.98000  ,  1.579e-04 ,  1.029e-05
    0.99000  ,  1.580e-04 ,  1.013e-05
    1.00000  ,  1.581e-04 ,  9.995e-06
    1.01000  ,  1.582e-04 ,  9.874e-06
    1.02000  ,  1.583e-04 ,  9.769e-06
    1.03000  ,  1.583e-04 ,  9.678e-06
    1.04000  ,  1.584e-04 ,  9.598e-06
    1.05000  ,  1.585e-04 ,  9.528e-06
    1.06000  ,  1.586e-04 ,  9.467e-06
    1.07000  ,  1.587e-04 ,  9.414e-06
    1.08000  ,  1.588e-04 ,  9.367e-06
    1.09000  ,  1.589e-04 ,  9.326e-06
    1.10000  ,  1.590e-04 ,  9.290e-06
    1.11000  ,  1.591e-04 ,  9.259e-06
    1.12000  ,  1.592e-04 ,  9.231e-06
    1.13000  ,  1.593e-04 ,  9.206e-06
    1.14000  ,  1.594e-04 ,  9.185e-06
    1.15000  ,  1.595e-04 ,  9.165e-06
    1.16000  ,  1.596e-04 ,  9.148e-06
    1.17000  ,  1.596e-04 ,  9.133e-06
    1.18000  ,  1.597e-04 ,  9.119e-06
    1.19000  ,  1.598e-04 ,  9.107e-06
    1.20000  ,  1.599e-04 ,  9.096e-06
    1.21000  ,  1.600e-04 ,  9.086e-06
    1.22000  ,  1.601e-04 ,  9.077e-06
    1.23000  ,  1.602e-04 ,  9.069e-06
    1.24000  ,  1.603e-04 ,  9.062e-06
    1.25000  ,  1.604e-04 ,  9.055e-06
    1.26000  ,  1.605e-04 ,  9.048e-06
    1.27000  ,  1.606e-04 ,  9.043e-06
    1.28000  ,  1.606e-04 ,  9.037e-06
    1.29000  ,  1.607e-04 ,  9.032e-06
    1.30000  ,  1.608e-04 ,  9.027e-06
