      v      ,      ids   ,      gd
    1.21000  ,  1.899e-05 ,  2.730e-06
    1.22000  ,  1.901e-05 ,  2.730e-06
    1.23000  ,  1.904e-05 ,  2.730e-06
    1.24000  ,  1.907e-05 ,  2.730e-06
    1.25000  ,  1.909e-05 ,  2.730e-06
    1.26000  ,  1.912e-05 ,  2.729e-06
    1.27000  ,  1.915e-05 ,  2.729e-06
    1.28000  ,  1.918e-05 ,  2.729e-06
    1.29000  ,  1.920e-05 ,  2.729e-06
    1.30000  ,  1.923e-05 ,  2.729e-06
