      v      ,      ids   ,      gd
    0.0      ,    0.0     ,    0.0
  1.0000e-02 ,  2.725e-06 , -1.923e-03
  2.0000e-02 ,  5.407e-06 ,  2.725e-04
  3.0000e-02 ,  8.044e-06 ,  2.682e-04
  4.0000e-02 ,  1.064e-05 ,  2.637e-04
  5.0000e-02 ,  1.318e-05 ,  2.592e-04
  6.0000e-02 ,  1.568e-05 ,  2.545e-04
  7.0000e-02 ,  1.813e-05 ,  2.498e-04
  8.0000e-02 ,  2.053e-05 ,  2.451e-04
  9.0000e-02 ,  2.288e-05 ,  2.402e-04
    0.10000  ,  2.519e-05 ,  2.353e-04
    0.11000  ,  2.744e-05 ,  2.303e-04
    0.12000  ,  2.964e-05 ,  2.252e-04
    0.13000  ,  3.179e-05 ,  2.201e-04
    0.14000  ,  3.389e-05 ,  2.149e-04
    0.15000  ,  3.593e-05 ,  2.097e-04
    0.16000  ,  3.792e-05 ,  2.043e-04
    0.17000  ,  3.985e-05 ,  1.990e-04
    0.18000  ,  4.173e-05 ,  1.935e-04
    0.19000  ,  4.356e-05 ,  1.880e-04
    0.20000  ,  4.533e-05 ,  1.824e-04
    0.21000  ,  4.704e-05 ,  1.768e-04
    0.22000  ,  4.869e-05 ,  1.711e-04
    0.23000  ,  5.029e-05 ,  1.653e-04
    0.24000  ,  5.182e-05 ,  1.595e-04
    0.25000  ,  5.330e-05 ,  1.536e-04
    0.26000  ,  5.472e-05 ,  1.477e-04
    0.27000  ,  5.607e-05 ,  1.417e-04
    0.28000  ,  5.737e-05 ,  1.357e-04
    0.29000  ,  5.860e-05 ,  1.296e-04
    0.30000  ,  5.978e-05 ,  1.234e-04
    0.31000  ,  6.089e-05 ,  1.173e-04
    0.32000  ,  6.194e-05 ,  1.111e-04
    0.33000  ,  6.292e-05 ,  1.049e-04
    0.34000  ,  6.385e-05 ,  9.871e-05
    0.35000  ,  6.471e-05 ,  9.255e-05
    0.36000  ,  6.552e-05 ,  8.644e-05
    0.37000  ,  6.626e-05 ,  8.039e-05
    0.38000  ,  6.695e-05 ,  7.445e-05
    0.39000  ,  6.758e-05 ,  6.863e-05
    0.40000  ,  6.815e-05 ,  6.297e-05
    0.41000  ,  6.868e-05 ,  5.751e-05
    0.42000  ,  6.915e-05 ,  5.226e-05
    0.43000  ,  6.957e-05 ,  4.727e-05
    0.44000  ,  6.996e-05 ,  4.256e-05
    0.45000  ,  7.030e-05 ,  3.815e-05
    0.46000  ,  7.060e-05 ,  3.407e-05
    0.47000  ,  7.087e-05 ,  3.032e-05
    0.48000  ,  7.111e-05 ,  2.692e-05
    0.49000  ,  7.132e-05 ,  2.387e-05
    0.50000  ,  7.151e-05 ,  2.115e-05
    0.51000  ,  7.167e-05 ,  1.875e-05
    0.52000  ,  7.182e-05 ,  1.666e-05
    0.53000  ,  7.195e-05 ,  1.486e-05
    0.54000  ,  7.207e-05 ,  1.332e-05
    0.55000  ,  7.218e-05 ,  1.202e-05
    0.56000  ,  7.228e-05 ,  1.092e-05
    0.57000  ,  7.238e-05 ,  9.999e-06
    0.58000  ,  7.246e-05 ,  9.238e-06
    0.59000  ,  7.254e-05 ,  8.612e-06
    0.60000  ,  7.262e-05 ,  8.098e-06
    0.61000  ,  7.269e-05 ,  7.680e-06
    0.62000  ,  7.276e-05 ,  7.340e-06
    0.63000  ,  7.283e-05 ,  7.065e-06
    0.64000  ,  7.290e-05 ,  6.844e-06
    0.65000  ,  7.296e-05 ,  6.666e-06
    0.66000  ,  7.303e-05 ,  6.524e-06
    0.67000  ,  7.309e-05 ,  6.410e-06
    0.68000  ,  7.315e-05 ,  6.320e-06
    0.69000  ,  7.322e-05 ,  6.248e-06
    0.70000  ,  7.328e-05 ,  6.191e-06
    0.71000  ,  7.334e-05 ,  6.146e-06
    0.72000  ,  7.340e-05 ,  6.111e-06
    0.73000  ,  7.346e-05 ,  6.083e-06
    0.74000  ,  7.352e-05 ,  6.061e-06
    0.75000  ,  7.358e-05 ,  6.044e-06
    0.76000  ,  7.364e-05 ,  6.031e-06
    0.77000  ,  7.370e-05 ,  6.021e-06
    0.78000  ,  7.376e-05 ,  6.013e-06
    0.79000  ,  7.382e-05 ,  6.007e-06
    0.80000  ,  7.388e-05 ,  6.002e-06
    0.81000  ,  7.394e-05 ,  5.998e-06
    0.82000  ,  7.400e-05 ,  5.995e-06
    0.83000  ,  7.406e-05 ,  5.993e-06
    0.84000  ,  7.412e-05 ,  5.992e-06
    0.85000  ,  7.418e-05 ,  5.990e-06
    0.86000  ,  7.424e-05 ,  5.989e-06
    0.87000  ,  7.430e-05 ,  5.988e-06
    0.88000  ,  7.436e-05 ,  5.988e-06
    0.89000  ,  7.442e-05 ,  5.987e-06
    0.90000  ,  7.448e-05 ,  5.986e-06
    0.91000  ,  7.454e-05 ,  5.986e-06
    0.92000  ,  7.460e-05 ,  5.985e-06
    0.93000  ,  7.466e-05 ,  5.985e-06
    0.94000  ,  7.472e-05 ,  5.984e-06
    0.95000  ,  7.478e-05 ,  5.983e-06
    0.96000  ,  7.484e-05 ,  5.983e-06
    0.97000  ,  7.490e-05 ,  5.982e-06
    0.98000  ,  7.496e-05 ,  5.981e-06
    0.99000  ,  7.502e-05 ,  5.980e-06
    1.00000  ,  7.508e-05 ,  5.979e-06
    1.01000  ,  7.514e-05 ,  5.978e-06
    1.02000  ,  7.520e-05 ,  5.977e-06
    1.03000  ,  7.526e-05 ,  5.977e-06
    1.04000  ,  7.532e-05 ,  5.975e-06
    1.05000  ,  7.538e-05 ,  5.974e-06
    1.06000  ,  7.544e-05 ,  5.973e-06
    1.07000  ,  7.550e-05 ,  5.972e-06
    1.08000  ,  7.556e-05 ,  5.971e-06
    1.09000  ,  7.562e-05 ,  5.970e-06
    1.10000  ,  7.568e-05 ,  5.969e-06
    1.11000  ,  7.574e-05 ,  5.967e-06
    1.12000  ,  7.580e-05 ,  5.966e-06
    1.13000  ,  7.585e-05 ,  5.965e-06
    1.14000  ,  7.591e-05 ,  5.964e-06
    1.15000  ,  7.597e-05 ,  5.963e-06
    1.16000  ,  7.603e-05 ,  5.961e-06
    1.17000  ,  7.609e-05 ,  5.960e-06
    1.18000  ,  7.615e-05 ,  5.959e-06
    1.19000  ,  7.621e-05 ,  5.957e-06
    1.20000  ,  7.627e-05 ,  5.956e-06
    1.21000  ,  7.633e-05 ,  5.955e-06
    1.22000  ,  7.639e-05 ,  5.954e-06
    1.23000  ,  7.645e-05 ,  5.952e-06
    1.24000  ,  7.651e-05 ,  5.951e-06
    1.25000  ,  7.657e-05 ,  5.950e-06
    1.26000  ,  7.663e-05 ,  5.948e-06
    1.27000  ,  7.669e-05 ,  5.947e-06
    1.28000  ,  7.675e-05 ,  5.946e-06
    1.29000  ,  7.681e-05 ,  5.944e-06
    1.30000  ,  7.687e-05 ,  5.943e-06
